,,,,,
,Tabla 1,,,,
,24.06.2018,"Milan, Italia",Basilica di Santo Stefano Maggiore,Coro & Ensemble Voz Latina. Dir. Maximiliano Baños,Misa Criolla
,19.05.2018,"Bologna, Italia",San Colombano,Festa della Musica,Musica e spettacolo nel regno di Napoli
,22.04.2018,"Bologna, Italia",Società Bolognese per la Musica antica.,"Victor Aragón, Rosita Ippolito, Pedro Alcàcer.",Nobilità a 7 corde
,21.03.2018,"Bologna, Italia",Società Bolognese per la Musica antica.,Bononia Antiqua,Giornata Europea della Musica Antica
,19.03.2018,"Bologna, Italia",San Colombano- Collezione tagliavini,Festa della Musica,Musica e spettacolo nel regno di Napoli
,03.03.2018,"Roma, Italia",Chiesa dei Frati Minori Conventuali,Allievi dei Coordinamenti di Musica Latina,"Reppresentatione di Anima, et di corpo. Dir. Evangelina Mascardi"
,11.02.2018,"Ferrara, Italia",Palazzo Costabili,Aminta,Canzoni chiacchiere & frottole
,26.08.2017,"Saint Hilaire, Francia",Châteur Malromé,Academia L’Arcadia,Combattimento Tournee Musicale
,30.06.2017,"Rio do Janeiro, Brasil",SA CECÍLIA LA MEIRELES,San Carlino,Passioni Italiane
,24.06.2017,"Milan, Italia",Vezza D’Oglio- Chiesa di San Giovanni,"Ciro Aroni, Teo Aroni, Pedro Alcàcer, Emilio Bezzi, Maria Calvo",Passioni Italiane
,20.06.2017,"Bologna, Italia",Oratorio Santa Cecilia,La musica interna,Musica a Venezia al Tempi di Claudio Monteverdi
,08.06.2017,"Zámek, Republica Checa",Knihovna,Cantar Lontano Dir. Marco Mencoboni,D’Amore e di Guerra
,06.06.2017,"Bologna, Italia",Museo Internazionale della musica,Solo,Going Forward Pluck By Pluck
,02.06.2017,"Bologna, Italia",Chiesa di San Vitale  e Agrícola,"Boris Belgelman, Elicia Silverstein, Mauro Valli, Pedro Alcàcer ",Barroque Treasures
,19.5.2017,"Cremona, Italia",Museo Archeologico,Ensemble Voz Latina.,Caravelle della musica
,13.05.2017,"Rotterdam, Holanda",Paradijskerk,Cantar Lontano,Arlecchino innamorato
,08.04.2017,Nîmes,,Gabriel Garrido,Monteverdi - Le sacré des sens
,08.04.2017,"Nîmes, Francia",Grand Temple de Nîmes,Elyma Dir. Gabriel Garrido,Monteverdi - Le sacré des sens
,08.04.2017,"Montfrin, Francia",Grand Temple de Nîmes,Elyma Garrido,Monteverdi - Le sacré des sens
,07.04.2017,"Montfrin, Francia",Notre Dame De Malpas,Solistes et instrumentistes des Rencontres baroques de Monfrin/ Dir. GABRIEL GARRIDO,"Monteverdi, Génie et passions sacrées"
,07.04.2017,"Montfrin, Francia",Notre Dame De Malpas,Elyma Dir. Gabriel Garrido,"Monteverdi, Génie et passions sacrées"
,19.01.2017,"Bologna, Italia",San Colombano- Collezione tagliavini,Sezione Aurea ,La Sonata a Tre
,16.01.2017,"Ferrara, Italia",Sala consigliare del comune di ferrara,Ensemble Rinascimentale del conservatorio “G. Frescobaldi” di Ferrara,La Furia di Orlando/ Alberto Allegrezza
,21.11.2016,"Pesaro, Italia",Chiesa della Santissima Annunziata,"Roberta Leah Diamond-Soprano, Pedro Alcàcer- Vihuela, chitarra spagnola e tiorba",Tonos Humanos
,20.11.2016,"Marostica, Italia",Chiesetta San Marco,Sensus,Don Quixote
,14.11.2016,"Milan, Italia",Palazzo Spinola,"Adriano Maria Fazio, Anna Camporini, Lorenzo Profita, Katarina Solecka, Pedro Alcàcer.","Sei sonate per Violoncello, Violino e b.c."
,13.11.2016,"Roma, Italia",S. Paolo entro le Mura,"Roberta Leah Diamond-Soprano, Pedro Alcàcer- Vihuela, chitarra spagnola e tiorba",Tonos Humanos
,20.10.2016,"Ferrara, Italia",Casa dell’Ariosto,"Gianni Lazzari, Federico Corrado, Pia Nainer y Pedro Alcàcer.",Il Flauto alla Corelli
,14.09.2016,"Bologna, Italia",Sala Mozart,Unitate Melos/Daniele Proni,Voci dal passato
,10.09.2016,"Montfrin, Francia",Châteur de Montfrin,Elyma Dir. Gabriel Garrido,El siglo de oro
,09.09.2016,Montfrin,,Gabriel Garrido,El siglo de oro
,15.08.2016,"Tolino, Italia",Abbazia Benedettina dei SS. Pietro e Andrea Novalesa,"Roberta Leah Diamond-Soprano, Pedro Alcàcer- Vihuela, chitarra spagnola e tiorba",Alla Voce le Sue Corde
